Characteristic,Intensity,2015_Illinois_Columbia,2015_Illinois_Springfield,2020_Massachusetts_Aberdeen,2020_Massachusetts_Cambridge,2020_Massachusetts_Chicago,2021_Maryland_Baltimore,2021_Maryland_Boston,2021_Maryland_Champaign
Maximum,,26.87,17.95,18.73,27.19,25.63,8.72,27.49,20.98
,  ,26.87,17.95,18.73,27.19,25.63,8.72,27.49,20.98
Humidity,,26.48,17.91,18.73,27.19,25.63,8.72,27.49,20.79
,  11-20,18.35,14.53,12.20,9.33,22.15,3.71,25.11,18.03
,  Calm,26.48,17.91,18.73,2.75,25.63,8.72,27.49,20.79
,  High,24.13,16.43,14.42,27.19,23.26,6.64,25.01,6.46
Temperature,,26.87,17.89,17.40,26.26,24.51,7.87,25.35,20.98
,  21-30,23.58,15.81,13.32,9.07,23.00,5.42,25.35,19.66
,  Breeze,19.94,14.36,11.13,26.26,22.85,2.14,24.97,18.26
,  Low,26.87,17.89,17.40,10.28,24.51,7.87,6.65,20.98
Wind,,22.11,17.95,15.11,10.65,23.27,7.43,25.27,20.40
,  31-40,19.93,14.27,13.75,9.18,22.88,2.26,23.98,6.31
,  Calm,19.50,13.68,9.84,1.19,21.53,1.00,21.10,18.78
,  Medium,22.11,17.95,15.11,10.65,23.27,7.43,25.27,20.40
