Quarter,Month,Production_Apartment,Production_House,Production_Workshop,Residential_Factory,Residential_Hotel,Minimum
Q2,,47.10,92.92,11.64,32.58,66.28,11.64
,  April,56.35,96.95,17.75,38.71,76.12,17.75
,  October,59.53,99.74,24.75,43.39,82.23,24.75
,  September,47.10,92.92,11.64,32.58,66.28,11.64
Q3,,46.26,90.87,10.74,29.30,64.23,10.74
,  August,52.91,94.99,17.04,37.58,70.53,17.04
,  November,60.70,98.12,22.96,40.29,83.77,22.96
,  October,46.26,90.87,10.74,29.30,64.23,10.74
Q4,,44.74,88.05,5.70,28.59,63.58,5.70
,  July,48.55,93.87,11.63,34.30,69.35,11.63
,  June,59.85,96.63,18.58,39.59,82.50,18.58
,  November,44.74,88.05,5.70,28.59,63.58,5.70
Minimum,,44.74,88.05,5.70,28.59,63.58,5.70
,  ,44.74,88.05,5.70,28.59,63.58,5.70
