DD,EE,AAgqt_BBlmr_CCbmz,AAgqt_BBnqx_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AApqr_BBlmr_CCcqx,AApqr_BBlmr_CCjwx,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCprw
DDmx,,23.47,27.23,15.86,23.81,24.65,25.30,25.71,6.67,27.75
,  EEbhk,23.47,24.49,15.86,23.81,24.65,0.02,5.16,6.67,16.92
,  EEqz,22.64,26.99,12.51,19.09,21.87,3.17,14.90,1.51,14.14
,  EEmz,18.28,27.23,7.67,4.38,18.40,25.30,25.71,0.75,27.75
DDcjx,,25.54,26.77,17.04,24.02,25.09,26.56,16.31,5.87,17.93
,  EEhq,25.54,26.53,17.04,24.02,25.09,3.32,16.31,5.38,17.93
,  EEkqy,22.93,21.66,11.70,6.06,20.53,26.56,14.12,2.43,0.21
,  EEdhv,23.07,26.77,14.76,21.55,21.60,11.38,15.40,5.87,16.75
DDcy,,25.33,25.55,13.71,17.20,24.21,9.49,15.47,7.91,17.43
,  EEmpy,25.33,25.05,13.71,1.74,24.21,7.89,14.41,7.91,17.43
,  EEcrv,23.40,22.28,13.26,7.56,21.70,9.49,15.47,2.84,15.79
,  EEbkv,22.10,25.55,10.24,17.20,12.77,0.07,12.40,1.73,11.43
Maximum,,25.54,27.23,17.04,24.02,25.09,26.56,25.71,7.91,27.75
,  ,25.54,27.23,17.04,24.02,25.09,26.56,25.71,7.91,27.75
