Characteristic,Intensity,2019_Illinois_Chicago,2019_Illinois_Minneapolis,2020_Minnesota_Champaign,2020_Minnesota_Hastings,2020_Minnesota_Rochester
Humidity,,21.38,17.07,14.23,26.55,7.86
,  21-30,21.38,11.35,14.23,20.05,1.06
,  Breeze,8.72,17.07,7.97,26.55,7.86
,  Low,3.34,12.04,3.96,23.13,5.47
Temperature,,26.07,13.79,19.44,25.45,7.43
,  11-20,26.07,8.46,12.86,14.20,1.79
,  Medium,24.62,13.79,4.58,21.76,3.72
,  Storm,8.76,7.44,19.44,25.45,7.43
Wind,,10.38,18.89,20.66,26.88,9.29
,  0-10,4.66,12.38,14.57,21.51,2.05
,  11-20,10.38,18.89,20.66,26.88,9.29
,  High,7.34,7.20,18.99,16.52,5.49
Maximum,,26.07,18.89,20.66,26.88,9.29
,  ,26.07,18.89,20.66,26.88,9.29
