Quarter,Month,Culture_Factory,Culture_Library,Culture_Theatre,Production_Concert,Production_School,Production_Workshop,Service_Administration,Service_Museum,State,City
Minimum,,52.45,76.30,1.11,10.44,70.58,54.14,68.12,29.05,,
,  ,52.45,76.30,1.11,10.44,70.58,54.14,68.12,29.05,,
Q1,,53.88,83.56,1.11,11.25,70.58,62.33,68.12,32.96,,
,  January,56.47,87.17,5.51,14.92,98.25,65.29,72.83,40.73,Nevada,Reno
,  June,59.77,92.70,52.70,28.48,70.58,68.41,77.05,47.77,Nevada,Reno
,  May,53.88,83.56,1.11,11.25,95.71,62.33,68.12,32.96,Nevada,Reno
Q2,,52.45,76.30,1.25,10.44,93.15,58.17,69.45,29.05,,
,  June,52.45,76.30,1.25,10.89,94.27,58.17,70.10,29.05,Nevada,Reno
,  March,55.70,88.61,4.44,10.44,96.43,64.55,73.97,39.64,Nevada,Reno
,  November,58.40,90.11,6.60,21.75,93.15,67.24,69.45,41.42,Nevada,Reno
Q4,,53.48,87.53,3.80,10.61,93.54,54.14,71.07,36.53,,
,  February,54.47,87.53,3.80,10.61,96.10,54.14,72.57,36.53,Nevada,Reno
,  May,53.48,93.76,9.24,28.50,97.43,69.64,77.04,48.81,Nevada,Reno
,  October,57.96,90.36,6.79,17.08,93.54,89.24,71.07,41.99,Nevada,Reno
