Characteristic,Intensity,2015_Florida_Fort Lauderdale,2015_Illinois_Lenox,2015_Massachusetts_Cambridge,2015_Massachusetts_Chicago,2022_Florida_Boston,2022_Florida_Champaign,2022_Illinois_Springfield,2022_Massachusetts_Tampa,Maximum
Humidity,,9.78,24.58,7.40,16.06,15.11,7.06,15.89,27.15,27.15
,  31-40,4.60,24.58,7.40,6.44,15.11,3.08,15.89,27.15,27.15
,  Calm,9.55,19.47,3.56,4.81,12.27,4.25,13.99,24.16,24.16
,  Medium,9.78,12.87,0.99,16.06,10.87,7.06,12.25,27.07,27.07
Temperature,,12.12,26.96,8.30,26.10,14.76,24.31,16.89,27.68,27.68
,  Breeze,10.88,23.58,6.25,18.11,14.76,23.48,15.29,27.68,27.68
,  Low,3.18,17.34,3.75,17.83,12.75,21.39,13.57,27.21,27.21
,  Medium,12.12,26.96,8.30,26.10,13.38,24.31,16.89,8.13,26.96
Wind,,11.67,23.62,8.02,19.45,14.32,22.86,16.23,27.91,27.91
,  11-20,11.67,5.59,8.02,19.45,14.32,5.07,16.23,26.93,26.93
,  High,9.59,18.44,1.65,4.70,10.67,20.87,13.96,27.91,27.91
,  Storm,10.60,23.62,5.77,18.17,14.28,22.86,14.38,25.53,25.53
Maximum,,12.12,26.96,8.30,26.10,15.11,24.31,16.89,27.91,27.91
,  ,12.12,26.96,8.30,26.10,15.11,24.31,16.89,27.91,27.91
