Polluted element,Type of pollution,California_Berkeley_2015,California_Champaign_2018,Illinois_Malibu_2018,Illinois_Portland_2015,Oregon_Chicago_2015,Oregon_Redmond_2018
Air,Chemical,-2.61,61.63,-35.25,49.14,79.15,-95.25
,Groundwater,99.49,-75.97,-47.60,33.02,-64.16,15.30
,Noise,-6.83,-66.25,88.49,-85.82,-53.22,-96.53
,Solid Waste,-14.19,54.55,-43.40,-87.25,72.47,22.99
Soil,Industrial,-22.76,55.80,81.03,-88.62,-58.65,21.77
,Inferior Irrigation,-10.48,61.49,-41.34,39.33,74.70,26.55
,Light,-3.07,-64.20,-41.09,38.19,-50.76,-94.32
,Surface water,-32.57,-77.09,81.62,37.54,-61.96,16.21
Water,Chemical,94.94,51.35,-51.55,36.94,64.23,15.17
,Oxygen-depletion,-26.28,53.68,-50.25,39.46,-59.99,19.08
,Thermal,-4.29,63.61,-38.63,36.84,77.07,33.85
,Urban Activities,-10.73,32.13,-41.33,-90.52,72.78,24.84
