CC,DD,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBbkv,AAcy_BBhpt
CChpx,,90.07,10.87,49.62,58.63,24.90,32.59,73.66
,  DDlmr,90.07,10.87,49.62,60.85,24.90,32.59,73.66
,  DDcmp,98.61,13.95,53.68,60.70,28.06,40.08,79.29
,  DDkrs,99.44,14.28,57.89,58.63,32.95,46.43,85.15
CCbt,,86.91,6.33,46.94,57.80,19.36,30.74,67.57
,  DDmx,86.91,6.33,46.94,57.80,19.36,30.74,67.57
,  DDcwz,90.75,11.61,51.77,61.98,25.65,33.24,78.86
,  DDbmz,98.53,14.38,54.57,64.22,30.28,40.72,84.94
CCfnw,,89.85,9.55,49.83,58.28,21.85,34.18,72.87
,  DDmx,99.46,14.99,56.21,60.51,30.88,44.38,85.88
,  DDqz,96.30,10.15,52.36,60.77,28.59,39.41,79.67
,  DDkrs,89.85,9.55,49.83,58.28,21.85,34.18,72.87
Minimum,,86.91,6.33,46.94,57.80,19.36,30.74,67.57
,  ,86.91,6.33,46.94,57.80,19.36,30.74,67.57
