CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBhpt,AAcy_BBbkv,Minimum
CChpx,,63.11,6.89,19.54,74.10,92.21,51.25,6.89
,  DDmx,70.13,15.63,44.16,84.03,99.70,59.96,15.63
,  DDlmr,63.11,6.89,19.54,74.10,92.21,51.25,6.89
,  DDcmp,67.55,7.61,28.78,77.52,97.72,56.73,7.61
CCbt,,59.21,0.94,16.78,73.87,87.15,45.74,0.94
,  DDmx,59.21,0.94,16.78,73.87,87.15,45.74,0.94
,  DDbmz,67.48,11.21,32.24,81.11,95.04,55.60,11.21
,  DDcwz,64.40,7.82,22.70,76.55,95.83,52.10,7.82
CCfnw,,61.55,5.05,15.68,74.90,89.78,47.46,5.05
,  DDgv,70.64,14.05,34.76,82.52,95.44,58.65,14.05
,  DDqz,66.95,8.80,23.59,77.83,96.71,55.85,8.80
,  DDkrs,61.55,5.05,15.68,74.90,89.78,47.46,5.05
