CC,DD,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBhpt,AAcy_BBbkv
CChpx,DDcmp,92.47,-30.81,8.03,-86.57,34.82,-52.20,56.62
,DDmx,-98.00,-11.22,9.57,-74.42,54.61,-46.85,75.51
,DDlmr,85.40,-33.21,5.65,-91.66,28.86,-56.29,60.87
,DDcwz,-93.36,-1.80,21.27,-64.66,56.47,-42.74,82.99
,DDdlz,98.76,-23.28,11.05,-82.28,46.04,-52.18,68.12
CCbt,DDmx,83.70,-37.56,2.33,-92.94,23.80,-63.76,57.02
,DDmpy,97.93,-21.53,11.61,-83.86,48.84,-47.68,69.13
,DDbmz,96.23,-27.43,9.40,-85.23,38.36,-51.40,62.34
,DDcwz,84.37,-32.33,6.54,-89.22,29.76,-53.10,59.70
,DDkrs,-95.55,-5.64,9.99,-75.37,54.59,-47.00,76.22
CCfnw,DDgv,97.07,-1.75,9.37,-83.44,41.64,-49.43,67.15
,DDlmr,-95.86,-2.92,20.93,-72.67,55.93,-46.63,79.30
,DDqz,91.63,-31.19,6.98,-87.75,34.97,-52.28,62.53
,DDknr,-99.91,-12.88,12.72,-75.52,52.49,-47.95,73.42
,DDkrs,84.19,-37.00,3.39,-91.98,25.48,-58.58,59.92
Average,,28.60,-20.70,9.92,-82.50,41.78,-51.20,67.39
