Polluted element,Type of pollution,California_Los-Angeles_2018,California_Reno_2020,California_San Francisco_2019,Nevada_Boulder City_2018,Nevada_Las Vegas_2019,Nevada_Malibu_2020
Average,,16.54,-74.77,16.21,4.33,12.67,33.66
,  ,16.54,-74.77,16.21,4.33,12.67,33.66
Air,,41.56,-65.29,7.14,12.22,15.84,85.33
,  Industrial,97.40,-87.76,70.65,-75.51,12.51,84.05
,  Noise,-17.79,-84.20,-56.75,58.05,18.80,87.81
,  Surface water,45.07,-23.89,7.51,54.11,16.20,84.11
Soil,,-4.88,-89.67,-5.37,55.16,11.66,-22.68
,  Chemical,40.86,-89.97,-27.41,53.79,14.34,20.27
,  Inorganic Fertilizers,-34.30,-91.56,67.43,53.37,7.08,-45.62
,  Thermal,-21.21,-87.48,-56.13,58.31,13.57,-42.69
Water,,12.95,-69.35,46.85,-54.38,10.50,38.35
,  Groundwater,-34.35,-92.67,68.02,-76.88,6.20,80.30
,  Light,99.34,-87.84,68.04,-74.72,13.30,-45.90
,  Oxygen-depletion,-26.15,-27.55,4.50,-11.55,11.99,80.65
