Characteristic,Intensity,2015_Maryland_Champaign,2015_Maryland_Columbia,2016_Florida_Springfield,2016_Florida_Tampa,2020_Illinois_Baltimore,2020_Illinois_Fort Lauderdale,Maximum
Humidity,,24.76,8.81,25.07,5.39,17.35,15.09,25.07
,  0-10,20.87,0.99,13.92,4.71,11.21,9.62,20.87
,  High,24.76,5.65,23.57,5.39,14.51,12.30,24.76
,  Storm,9.00,8.81,25.07,2.84,17.35,15.09,25.07
Temperature,,23.85,4.56,22.06,17.12,13.17,14.11,23.85
,  Breeze,8.55,4.56,19.47,6.87,9.18,14.11,19.47
,  Medium,23.85,4.47,22.06,17.12,13.17,12.28,23.85
,  Storm,20.42,1.09,19.97,0.80,10.18,3.10,20.42
Wind,,27.16,5.50,21.10,18.49,10.78,14.93,27.16
,  11-20,21.30,3.45,21.10,17.58,4.26,10.63,21.30
,  Breeze,27.16,0.90,18.31,3.88,9.65,9.91,27.16
,  Low,8.76,5.50,19.03,18.49,10.78,14.93,19.03
Maximum,,27.16,8.81,25.07,18.49,17.35,15.09,27.16
,  ,27.16,8.81,25.07,18.49,17.35,15.09,27.16
