Polluted element,Type of pollution,Illinois_Chicago_2022,Illinois_Portland_2022,Illinois_Salem_2016,Oregon_Champaign_2015,Oregon_Redmond_2020
Air,,22.26,24.42,-20.82,-42.78,78.90
,  Industrial,14.44,97.22,57.31,-89.67,72.63
,  Inorganic Fertilizers,30.54,-4.20,-58.63,47.53,84.94
,  Noise,21.79,-19.75,-61.13,-86.21,79.13
Soil,,18.90,-22.08,17.14,-43.81,32.63
,  Chemical,27.00,-7.95,-59.72,46.35,84.58
,  Inorganic Fertilizers,10.96,-36.35,51.75,-90.81,-56.60
,  Thermal,18.75,-21.94,59.39,-86.96,69.92
Water,,25.68,-14.96,-63.12,43.64,-48.59
,  Industrial,36.37,-3.07,-57.40,47.51,-41.43
,  Light,16.77,-31.10,-71.74,40.72,-56.91
,  Surface water,23.91,-10.72,-60.21,42.70,-47.43
Average,,22.28,-4.21,-22.26,-14.32,20.98
,  ,22.28,-4.21,-22.26,-14.32,20.98
