DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AApqr_BBgv_CCbt
DDmx,,-80.83,-42.35,-53.42,-48.98,15.74,15.80,14.29
,  EEmz,-85.13,-47.48,-59.76,-95.25,3.00,56.35,96.91
,  EEbhk,-75.50,-35.43,-48.04,40.33,25.63,-69.92,-24.28
,  EEqz,-81.85,-44.13,-52.47,-92.01,18.58,60.98,-29.75
DDcy,,5.89,1.70,77.27,-6.95,18.71,19.34,21.29
,  EEcrv,49.99,-45.08,78.69,-95.28,20.13,-68.30,-25.26
,  EEmz,56.13,-34.40,81.18,41.74,28.58,66.72,-5.40
,  EEbkv,-88.46,84.59,71.93,32.68,7.43,59.59,94.54
DDcjx,,8.64,46.38,-6.81,-47.56,24.73,-23.65,21.63
,  EEkqy,45.76,85.54,-53.03,34.63,16.34,-68.36,93.39
,  EEdhv,51.39,-40.72,-50.18,-90.86,25.22,57.69,-24.44
,  EEbkv,-71.22,94.32,82.77,-86.46,32.63,-60.29,-4.05
