Polluted element,Type of pollution,Illinois_Redmond_2021,Illinois_Reno_2017,Illinois_Springfield_2021,Nevada_Champaign_2017,Nevada_Salem_2021,Oregon_Las Vegas_2021,Oregon_Portland_2017
Average,,-14.19,-2.46,8.49,-27.92,46.81,29.89,5.21
,  ,-14.19,-2.46,8.49,-27.92,46.81,29.89,5.21
Air,,-11.25,19.86,10.60,-54.69,32.34,45.35,50.57
,  Industrial,-21.09,56.70,5.38,28.45,72.69,40.15,88.26
,  Light,-1.62,-58.08,15.90,-92.72,75.50,50.46,-29.42
,  Surface water,-11.03,60.95,10.51,-99.81,-51.17,45.45,92.86
Soil,,-17.74,-25.43,6.16,-16.56,31.73,0.03,-39.77
,  Chemical,-18.04,-69.11,6.90,28.23,75.65,-87.47,-38.15
,  Inorganic Fertilizers,-24.79,-76.00,1.64,21.66,-57.75,39.80,-41.10
,  Noise,-10.39,68.83,9.93,-99.57,77.29,47.76,-40.07
Water,,-13.57,-1.82,8.71,-12.51,76.36,44.29,4.84
,  Oxygen-depletion,-14.72,-1.54,9.43,-98.40,76.91,43.70,-40.36
,  Thermal,-2.78,69.99,14.26,35.41,79.23,48.94,-33.17
,  Urban Activities,-23.22,-73.90,2.43,25.47,72.95,40.22,88.05
