Characteristic,Intensity,2015_Illinois_Champaign,2015_Oregon_Salem,2016_Illinois_Portland,2016_Oregon_Springfield,2020_Illinois_Chicago,2020_Oregon_Redmond
Humidity,11-20,24.46,20.19,17.80,15.62,5.68,7.59
,High,18.92,5.95,10.07,9.71,0.89,27.40
,Storm,18.19,19.44,0.17,10.36,3.81,23.96
Temperature,21-30,15.45,20.49,4.30,14.64,5.78,24.55
,High,25.79,0.91,4.53,14.63,7.47,7.65
,Low,19.25,18.57,11.11,11.93,2.25,23.70
Wind,0-10,24.33,7.56,17.38,16.01,7.69,7.49
,Breeze,20.82,7.97,16.03,11.18,3.24,25.85
,Medium,19.30,18.16,10.59,9.18,1.38,23.01
Maximum,,25.79,20.49,17.80,16.01,7.69,27.40
