DD,EE,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,Maximum
DDmx,EEqz,24.19,21.67,2.09,21.53,18.32,9.24,9.23,24.19
,EEbhk,6.49,22.37,6.34,20.29,18.09,15.49,12.53,22.37
,EEmz,27.85,5.01,0.76,13.47,16.29,9.53,7.02,27.85
DDcy,EEcrv,26.33,2.90,2.36,22.45,18.21,13.89,9.50,26.33
,EEmpy,6.18,1.57,7.54,25.36,5.29,15.38,14.42,25.36
,EEbkv,27.98,20.03,1.91,18.06,4.47,9.27,8.18,27.98
DDcjx,EEkqy,25.04,20.01,1.37,20.49,5.81,7.00,8.58,25.04
,EEmz,27.76,24.37,8.64,25.00,0.73,15.21,14.25,27.76
,EEdhv,25.14,21.83,4.11,23.57,18.60,14.82,11.34,25.14
Maximum,,27.98,24.37,8.64,25.36,18.60,15.49,14.42,27.98
