Polluted element,Type of pollution,California_Lenox_2017,California_San Francisco_2017,Florida_Boston_2015,Florida_Fort Lauderdale_2015,Massachusetts_Los-Angeles_2016,Massachusetts_Tampa_2016,Average
Soil,,11.01,-11.20,-1.03,-15.35,10.70,25.44,3.26
,  Chemical,-53.65,-99.34,62.33,-11.25,46.39,91.78,6.04
,  Inorganic Fertilizers,-57.07,5.56,60.68,-26.40,34.84,84.46,17.01
,  Solid Waste,74.70,18.50,-66.76,-21.16,38.91,-40.79,0.57
,  Surface water,80.04,30.48,-60.36,-2.59,-77.36,-33.71,-10.58
Water,,78.23,24.73,0.01,-11.69,-16.93,92.12,27.75
,  Groundwater,80.48,30.20,65.73,-8.40,-80.76,91.29,29.76
,  Industrial,73.89,8.41,61.68,-24.30,38.39,87.75,40.97
,  Inferior Irrigation,75.77,26.87,-66.40,-12.85,46.19,90.65,26.70
,  Inorganic Fertilizers,82.77,33.46,-60.95,-1.22,-71.52,98.78,13.55
