CC,DD,AAdk_BBtw,AAdk_BBmn,AAdn_BBpw,AAdn_BBrv
CCbx,,17.83,-15.39,14.69,-44.56
,  DDnw,24.16,86.76,-1.57,67.44
,  DDcs,18.72,-50.22,-26.08,-86.74
,  DDrz,6.46,-52.55,99.96,-92.49
,  DDjn,21.97,-45.56,-13.54,-66.45
CCst,,15.69,14.49,-25.01,-49.31
,  DDnw,6.18,-57.04,-42.99,32.38
,  DDlp,12.28,-50.23,-25.82,-87.02
,  DDnt,25.98,83.02,-10.85,-61.10
,  DDdf,18.31,82.20,-20.38,-81.49
CChv,,14.84,45.29,-26.31,-52.41
,  DDcl,12.16,77.34,-26.52,-88.77
,  DDkz,24.76,84.72,-12.97,63.26
,  DDnt,2.98,-61.60,-42.75,-98.59
,  DDhm,19.45,80.69,-23.01,-85.54
