Polluted element,Type of pollution,Maryland_Baltimore,Maryland_Lenox,Massachusetts_Aberdeen,Massachusetts_Cambridge,Massachusetts_Columbia,Average
Air,,56.10,-45.73,-46.68,-6.40,-15.19,-11.58
,  Groundwater,81.43,-85.77,-67.81,7.33,-28.53,-18.67
,  Noise,86.20,49.65,0.15,21.63,-6.18,30.29
,  Solid Waste,-38.25,-76.05,-61.27,33.63,-19.67,-32.32
,  Surface water,95.01,-70.74,-57.80,-88.21,-6.38,-25.62
Soil,,25.49,-11.71,35.03,-14.42,-17.65,3.35
,  Chemical,81.20,-81.72,61.76,8.35,-28.15,8.29
,  Groundwater,-30.13,57.06,72.77,-87.82,-4.40,1.50
,  Industrial,-38.86,-72.72,-60.04,-6.94,-13.50,-38.41
,  Thermal,89.76,50.52,65.64,28.71,-24.56,42.01
Water,,20.65,-14.88,32.72,-10.86,-22.06,1.12
,  Inferior Irrigation,-39.46,-77.23,-62.82,-99.52,-19.95,-59.80
,  Light,81.26,48.34,63.76,16.66,-28.10,36.38
,  Surface water,-54.91,42.01,59.88,2.59,-30.04,3.91
,  Urban Activities,95.71,-72.62,70.06,36.83,-10.14,23.97
