DD,EE,AApqr_BBlmr_CCbt,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs
DDcjx,,42.98,4.20,21.36,-17.15,-23.88
,  EEdhv,61.21,-25.02,16.55,-86.13,-48.90
,  EEkqy,0.62,48.16,19.70,-15.64,18.96
,  EEhq,67.10,-10.54,27.83,50.32,-41.70
DDmx,,18.53,-25.10,17.19,1.31,37.41
,  EEbhk,65.71,-25.34,24.15,-82.28,82.91
,  EEqz,-71.10,-28.56,13.17,42.59,76.58
,  EEmz,60.98,-21.41,14.24,43.62,-47.25
DDcy,,-22.05,-21.09,-2.00,2.60,16.74
,  EEcrv,60.55,-27.75,15.51,44.16,-51.26
,  EEbkv,-64.58,-19.52,-46.24,46.41,18.19
,  EEmpy,-62.11,-16.00,24.74,-82.78,83.29
