CC,DD,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBbpv,AAmz_BBgqt
CCfnw,DDgv,-16.17,24.62,98.82,71.07,-54.45,-77.61,46.26
,DDknr,-14.63,32.61,98.16,76.25,-51.55,-73.81,49.17
,DDqz,-24.49,18.13,87.57,65.05,-58.68,-84.89,42.20
,DDkrs,-21.47,24.30,44.73,70.47,-54.35,-77.90,44.34
CChpx,DDlmr,-18.88,26.98,44.50,72.05,-50.95,-74.52,46.82
,DDdlz,-15.90,29.73,99.68,73.71,-54.94,-74.25,48.37
,DDqtw,-11.31,33.27,99.55,76.60,-49.75,-72.40,52.12
,DDcmp,-20.64,19.48,94.37,66.12,-56.34,-78.38,42.27
CCbt,DDmx,-22.89,22.20,43.82,68.19,-55.80,-81.53,43.69
,DDbmz,-18.64,22.04,97.21,69.07,-55.82,-77.27,42.03
,DDcwz,-34.45,17.42,90.09,63.36,-58.54,-83.59,41.12
,DDmpy,-14.52,29.08,98.55,75.17,-54.28,-73.40,49.97
