Polluted element,Type of pollution,California_Chicago,California_Malibu,Illinois_San Francisco,Illinois_Springfield,Average
Air,Chemical,49.87,98.96,62.87,11.01,55.68
,Inorganic Fertilizers,-76.44,-27.79,72.20,-99.61,-32.91
,Light,37.70,-38.45,-70.87,3.05,-17.14
,Urban Activities,-73.97,-6.75,76.29,34.66,7.56
Soil,Industrial,51.85,-10.42,-52.50,-96.07,-26.78
,Noise,43.27,97.21,56.75,8.30,51.38
,Oxygen-depletion,-77.76,-30.89,65.13,28.44,-3.77
,Thermal,57.12,-1.67,-42.05,37.13,12.63
Water,Groundwater,-78.87,-30.99,64.06,16.02,-7.44
,Light,-72.02,-2.60,79.35,35.08,9.95
,Solid Waste,-75.65,-23.37,-54.92,28.98,-31.24
,Thermal,42.91,95.76,58.73,5.80,50.80
