DD,EE,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,Average
DDcy,EEcrv,97.41,15.38,65.52,-44.49,38.77,34.52
,EEkqy,-3.60,32.82,-56.74,89.02,-79.59,-3.62
,EEmpy,-23.15,30.85,-60.73,-40.19,-82.86,-35.22
,EEbkv,94.79,5.93,-76.84,-50.37,-94.54,-24.21
DDmx,EEbhk,-33.01,25.13,67.87,-9.00,-84.15,-6.63
,EEmz,88.74,0.76,-76.33,78.84,-98.41,-1.28
,EEqz,96.83,13.60,61.25,-9.97,-90.64,14.21
,EEbkv,-9.04,-98.78,70.60,88.34,48.63,19.95
DDcjx,EEmz,-19.42,-98.02,69.36,89.34,46.43,17.54
,EEqz,-1.14,-94.57,73.19,-38.39,50.61,-2.06
,EEkqy,92.80,12.99,-71.70,79.90,38.30,30.46
,EEdhv,-1.35,17.17,65.85,-44.46,41.69,15.78
