CC,DD,AApqr_BBbpv,AApqr_BBnqx,AApqr_BBbkv,AAmz_BBcjx,AAmz_BBgqt
Average,,-5.06,14.25,-1.85,19.01,-28.16
,  ,-5.06,14.25,-1.85,19.01,-28.16
CCbt,,1.23,16.97,-52.81,3.36,-14.01
,  DDcwz,-18.21,24.21,-58.33,26.70,-12.34
,  DDbmz,-19.22,14.23,-37.12,-38.95,50.98
,  DDmx,41.12,12.46,-62.97,22.33,-80.68
CCfnw,,2.92,26.50,-5.05,47.29,-13.58
,  DDqz,-16.69,52.78,70.21,29.44,-12.20
,  DDkrs,42.72,13.46,-47.62,20.36,-79.54
,  DDgv,-17.26,13.25,-37.74,92.09,51.00
CChpx,,-19.33,-0.72,52.32,6.39,-56.90
,  DDdlz,-16.46,19.99,72.14,-35.54,-77.17
,  DDcmp,-18.48,-35.96,80.17,-34.02,-12.05
,  DDlmr,-23.06,13.80,4.66,88.72,-81.47
