CC,DD,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,AAmz_BBbpv,AAmz_BBgqt
CCbt,,70.88,-48.29,67.90,-23.76,12.68,-77.38,45.94
,  DDcwz,68.30,-50.64,79.41,-30.52,7.00,-84.79,44.17
,  DDkrs,78.22,-40.68,-3.88,-5.13,24.96,-67.24,55.54
,  DDmpy,75.56,-43.25,93.70,-21.04,18.31,-73.09,50.16
,  DDmx,61.20,-55.70,79.48,-34.46,0.78,-87.27,33.36
,  DDbmz,71.10,-51.17,90.81,-27.63,12.34,-74.49,46.48
CChpx,,71.45,-45.34,51.47,-19.17,16.69,-72.05,50.79
,  DDcwz,75.98,-38.48,-99.97,-3.80,31.77,-56.49,60.24
,  DDdlz,74.21,-45.63,91.22,-21.50,17.73,-72.16,49.72
,  DDlmr,63.58,-51.89,79.09,-31.48,6.30,-85.79,43.87
,  DDcmp,69.13,-49.17,87.28,-28.63,6.37,-77.28,46.41
,  DDmx,74.36,-41.51,99.72,-10.45,21.26,-68.51,53.71
CCfnw,,71.31,-47.69,70.08,-22.85,14.92,-75.69,47.94
,  DDgv,73.41,-51.57,91.32,-27.57,16.34,-73.91,48.65
,  DDknr,73.07,-43.40,98.27,-19.95,18.52,-70.84,52.29
,  DDkrs,60.53,-52.52,76.42,-32.73,4.51,-86.94,37.83
,  DDlmr,79.97,-39.42,-0.85,-4.41,27.16,-64.52,56.14
,  DDqz,69.58,-51.55,85.26,-29.60,8.09,-82.23,44.77
