Characteristic,Intensity,2016_Minnesota_Rochester,2019_Michigan_Flint,2019_Minnesota_Hastings,2020_Michigan_Minneapolis,2020_Minnesota_Detroit,Maximum
Humidity,,25.85,27.36,7.09,16.48,23.08,27.36
,  0-10,22.75,27.19,4.53,11.05,19.68,27.19
,  Breeze,25.85,27.36,7.09,16.48,23.08,27.36
,  Low,19.00,24.33,1.42,7.13,15.69,24.33
Temperature,,23.79,25.50,7.65,14.79,23.30,25.50
,  11-20,23.79,0.11,5.00,10.66,21.00,23.79
,  High,20.40,25.50,1.67,9.44,16.25,25.50
,  Storm,22.07,9.13,7.65,14.79,23.30,23.30
Wind,,27.03,26.19,9.47,15.26,24.75,27.03
,  31-40,22.74,26.19,6.01,13.73,22.59,26.19
,  Low,27.03,14.26,9.47,15.26,24.75,27.03
,  Medium,21.66,21.42,2.04,12.18,6.61,21.66
