Polluted element,Type of pollution,Florida_Detroit_2017,Florida_Fort Lauderdale_2017,Michigan_Flint_2015,Michigan_Minneapolis_2015,Michigan_Tampa_2015,Minnesota_Port Huron_2022,Minnesota_Rochester_2022
Air,Groundwater,76.97,-44.61,17.77,8.46,-16.55,44.26,-68.02
,Noise,59.66,-52.48,17.98,-8.87,-18.40,40.76,-73.50
,Solid Waste,83.70,-39.59,23.64,-85.66,-9.52,52.28,-65.37
,Urban Activities,67.32,-41.74,17.94,-92.30,-14.90,45.90,-69.32
Soil,Industrial,68.84,-39.03,21.49,-87.48,-13.37,48.49,-66.44
,Inorganic Fertilizers,89.06,-37.61,26.59,-84.58,-10.42,54.00,-61.84
,Oxygen-depletion,78.38,-43.52,17.55,9.55,-14.93,47.04,-67.28
,Thermal,64.12,-50.57,18.13,-92.97,-17.25,40.79,-71.28
Water,Chemical,76.00,-47.20,15.84,5.02,-18.11,41.75,-69.04
,Inferior Irrigation,82.14,-38.22,23.59,-86.25,-10.25,49.89,-66.39
,Light,66.92,-44.24,19.18,-91.71,-17.12,45.52,-71.20
,Surface water,63.06,-55.78,11.81,0.57,-25.00,36.39,-76.38
Average,,73.01,-44.55,19.29,-50.52,-15.49,45.59,-68.84
