DD,EE,AAgqt_BBnry_CCbpv,AAgqt_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx
DDmx,,-22.54,11.22,-56.42,-6.45,15.94,-6.83
,  EEksy,-48.40,-7.49,-79.03,-31.13,28.40,63.22
,  EEbhk,-54.55,-17.03,40.93,-32.40,17.11,-69.26
,  EEmz,-61.16,97.50,-95.96,78.05,3.99,-76.99
,  EEqz,73.96,-28.09,-91.64,-40.32,14.24,55.71
DDcy,,43.17,13.43,-23.09,-3.94,-13.65,-37.85
,  EEjvz,81.71,-4.10,50.02,97.00,-97.96,-65.73
,  EEcrv,74.66,-25.65,-91.00,-37.85,14.66,-72.22
,  EEmpy,-53.43,-14.70,-85.34,-31.06,18.25,61.62
,  EEbkv,69.76,98.18,33.97,-43.84,10.45,-75.08
DDcjx,,-52.17,-14.18,10.40,-1.97,20.49,27.28
,  EEdhv,-52.77,-18.30,38.37,-35.74,16.58,58.69
,  EEkqy,-55.11,-24.72,35.29,-40.07,12.83,53.66
,  EEmz,-51.70,-3.54,51.67,99.33,32.20,63.70
,  EEhq,-49.12,-10.16,-83.74,-31.41,20.35,-66.92
Average,,-10.51,3.49,-23.04,-4.12,7.59,-5.80
,  ,-10.51,3.49,-23.04,-4.12,7.59,-5.80
