Characteristic,Intensity,2018_Georgia_Detroit,2018_Michigan_Columbus,2018_Nevada_Las Vegas,2018_Nevada_Port Huron,2021_Georgia_Boulder City,2021_Michigan_Flint,2021_Nevada_Albany
Humidity,,27.90,17.62,5.60,18.53,11.30,27.43,23.87
,  Calm,27.45,17.62,5.60,3.14,11.30,0.04,23.87
,  High,27.90,10.13,3.24,18.53,9.08,27.43,19.47
,  Medium,18.06,13.68,0.78,15.50,5.07,22.20,19.95
Wind,,26.07,18.59,6.72,23.71,11.15,23.03,22.65
,  Breeze,26.07,18.59,6.72,23.71,11.15,15.57,18.64
,  Low,24.28,9.38,0.34,16.97,4.98,23.03,20.50
,  Storm,25.41,16.03,4.14,21.58,6.58,8.61,22.65
Maximum,,27.90,18.59,6.72,23.71,11.30,27.43,23.87
,  ,27.90,18.59,6.72,23.71,11.30,27.43,23.87
