DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,Maximum
DDmx,,3.14,20.94,12.03,26.38,14.89,21.50,26.53,8.86,26.53
,  EEcrv,3.14,20.94,12.03,8.94,14.89,21.50,26.53,6.91,26.53
,  EEkqy,1.78,20.91,3.86,25.41,14.63,16.50,26.39,8.86,26.39
,  EEmz,0.48,18.05,9.46,26.38,12.87,14.35,19.60,4.40,26.38
DDcy,,5.68,21.83,13.87,22.18,17.83,22.25,27.89,9.27,27.89
,  EEqz,3.01,21.83,12.86,8.41,14.40,4.79,26.10,9.27,26.10
,  EEbkv,1.11,19.59,9.05,22.18,12.95,16.57,25.33,7.74,25.33
,  EEmz,5.68,14.98,13.87,9.35,17.83,22.25,27.89,6.60,27.89
Maximum,,5.68,21.83,13.87,26.38,17.83,22.25,27.89,9.27,27.89
,  ,5.68,21.83,13.87,26.38,17.83,22.25,27.89,9.27,27.89
