Polluted element,Type of pollution,Massachusetts_Boston,Massachusetts_Lenox,Massachusetts_Rochester,Minnesota_Cambridge,Minnesota_Hastings,Minnesota_Minneapolis
Air,,-17.40,-12.87,-24.03,-2.68,19.54,27.98
,  Chemical,81.46,-9.51,42.37,-34.61,25.97,62.20
,  Inorganic Fertilizers,-56.61,-22.02,-98.48,-42.26,5.26,-76.15
,  Oxygen-depletion,-43.52,-4.57,49.19,-27.82,27.86,69.28
,  Thermal,-50.91,-15.38,-89.18,93.99,19.08,56.57
Soil,,46.49,-16.69,-25.40,-3.49,17.78,-39.79
,  Groundwater,85.62,-7.93,-81.14,-29.38,27.26,-61.59
,  Inferior Irrigation,71.92,-23.56,-98.84,88.35,2.17,49.36
,  Light,80.52,-11.47,41.82,-35.47,23.65,-67.80
,  Solid Waste,-52.09,-23.79,36.55,-37.47,18.03,-79.12
Water,,48.28,-11.92,-21.73,31.86,-10.84,-68.09
,  Industrial,74.38,-21.14,34.93,-38.53,6.33,-76.14
,  Inferior Irrigation,86.22,-2.77,50.94,-25.51,-98.66,-58.01
,  Noise,-49.28,-15.36,-89.98,93.68,21.99,-72.37
,  Surface water,81.82,-8.42,-82.83,97.81,26.98,-65.86
Average,,25.79,-13.83,-23.72,8.56,8.83,-26.64
,  ,25.79,-13.83,-23.72,8.56,8.83,-26.64
