DD,EE,AAgqt_BBdfv_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AApqr_BBgv_CCcqx,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,Average
DDcy,EEbkv,-28.15,29.76,-77.41,-35.04,-0.05,9.09,64.64,-59.19,-12.04
,EEjvz,-3.05,57.65,-63.16,-26.01,-83.19,24.13,82.38,-39.40,-6.33
,EEmpy,-8.16,49.05,-72.19,-29.16,-2.83,22.01,80.54,-46.86,-0.95
,EEcrv,-18.29,45.76,-74.51,-34.11,98.87,16.52,69.89,-52.40,6.47
DDcjx,EEkqy,-22.40,31.97,-76.75,-34.06,97.82,11.35,65.42,-57.50,1.98
,EEhq,-5.04,57.39,-68.72,-31.04,-86.02,22.74,81.87,-45.81,-9.33
,EEmz,-2.32,61.73,-60.10,-27.79,-81.20,25.27,85.57,-38.56,-4.68
,EEdhv,-15.69,44.49,-72.23,-31.92,98.08,20.86,71.70,-49.94,8.17
DDmx,EEksy,-4.10,58.98,-65.40,-33.66,-85.61,24.04,82.49,-46.04,-8.66
,EEbhk,-15.58,47.50,-72.21,-34.18,-2.74,20.78,72.13,-48.26,-4.07
,EEqz,-20.75,44.73,-74.20,-33.60,98.07,15.19,66.11,-55.00,5.07
,EEmz,-24.67,24.02,-79.60,-36.92,94.17,4.86,63.49,-59.22,-1.73
Average,,-14.02,46.09,-71.37,-32.29,12.11,18.07,73.85,-49.85,-2.18
