Polluted element,Type of pollution,Florida_Baltimore_2021,Florida_Flint_2022,Florida_Tampa_2019,Maryland_Aberdeen_2019,Maryland_Fort Lauderdale_2022,Maryland_Port Huron_2015,Michigan_Columbia_2015,Michigan_Detroit_2021,Average
Air,Inorganic Fertilizers,37.00,-31.58,-97.12,8.08,66.36,-54.67,59.59,-82.00,-11.79
,Light,32.71,-34.76,94.88,2.76,65.11,-58.41,56.45,-87.99,8.84
,Oxygen-depletion,51.76,-12.01,-90.07,25.13,91.19,-39.38,63.58,-62.05,3.52
,Solid Waste,46.88,-19.66,-93.49,20.19,75.72,-47.14,62.10,-75.75,-3.89
Soil,Groundwater,47.10,-17.60,-92.66,21.15,76.24,-45.83,61.69,-70.85,-2.59
,Surface water,53.81,-2.64,-89.76,30.67,93.65,-39.54,63.46,-61.99,5.96
,Thermal,33.16,-33.72,60.48,5.46,65.14,-57.34,56.79,-90.84,4.89
,Urban Activities,40.47,-27.66,-97.83,11.50,68.04,-54.15,60.19,-80.80,-10.03
Water,Chemical,49.91,-16.86,-91.43,24.80,82.71,-40.53,62.08,-66.81,0.48
,Inferior Irrigation,43.48,-25.69,-94.06,15.63,72.70,-48.79,60.27,-76.95,-6.68
,Light,55.24,-1.51,-88.54,31.12,93.25,-35.19,65.90,-58.70,7.70
,Noise,35.28,-33.19,-99.93,6.01,65.25,-54.95,57.42,-84.44,-13.57
