DD,EE,AApqr_BBgv_CCbt,AApqr_BBnry_CCkrs,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,Average
DDmx,,-41.29,71.78,7.45,67.25,-62.53,-15.29,37.39,-86.56,-2.72
,  EEbhk,-40.45,93.72,7.71,67.15,-60.72,-14.37,35.44,-85.95,0.32
,  EEkqy,-32.47,-0.43,16.48,77.67,-56.69,-4.96,54.79,-76.66,-2.78
,  EEmz,-51.18,81.60,-0.80,58.21,-71.01,-26.02,22.12,-96.32,-10.42
,  EEksy,-35.56,96.59,9.48,74.08,-58.53,-9.31,45.75,-80.74,5.22
,  EEqz,-46.80,87.42,4.39,59.16,-65.71,-21.78,28.84,-93.11,-5.95
DDcy,,-40.41,53.37,8.70,69.80,-63.50,-12.99,39.54,-84.73,-3.78
,  EEcrv,-44.27,88.98,3.22,64.97,-64.22,-17.04,28.89,-91.76,-3.90
,  EEmz,-34.36,98.80,13.53,76.78,-58.44,-7.36,48.45,-79.29,7.26
,  EEmpy,-37.71,95.58,8.32,68.82,-60.80,-13.35,40.25,-83.60,2.19
,  EEbkv,-56.32,82.20,0.00,59.06,-73.72,-24.00,25.53,-95.97,-10.40
,  EEqz,-29.40,-98.72,18.42,79.36,-60.33,-3.22,54.56,-73.03,-14.04
DDcjx,,-38.19,34.04,11.66,70.44,-59.22,-11.97,41.45,-84.13,-4.49
,  EEhq,-37.92,95.50,9.80,68.12,-58.63,-12.06,40.16,-82.24,2.84
,  EEcrv,-29.24,-96.50,22.18,80.37,-52.51,-2.91,55.86,-72.16,-11.86
,  EEdhv,-42.22,90.92,6.29,65.22,-61.75,-17.40,33.41,-92.52,-2.26
,  EEkqy,-48.50,84.26,3.26,60.91,-66.82,-21.50,26.37,-93.88,-6.99
,  EEbkv,-33.06,-3.98,16.77,77.60,-56.39,-5.96,51.46,-79.87,-4.18
Average,,-39.96,53.06,9.27,69.17,-61.75,-13.42,39.46,-85.14,-3.66
,  ,-39.96,53.06,9.27,69.17,-61.75,-13.42,39.46,-85.14,-3.66
