CC,DD,AAdn_BBhz,AAdn_BBpw,AAdn_BBrv,AAdk_BBdl,AAdk_BBtw,AAdk_BBmn
CCst,,-7.32,27.55,-0.88,-33.73,-61.99,13.26
,  DDnt,-3.00,79.21,-81.44,-24.31,-97.62,61.21
,  DDcl,-7.61,-62.77,42.58,-34.28,-98.24,-73.96
,  DDnw,-11.36,66.20,36.23,-42.59,9.89,52.52
CChv,,-9.35,68.10,-45.80,2.31,-22.39,10.70
,  DDnt,-12.46,60.95,-94.01,-48.45,7.48,47.33
,  DDrz,-9.46,66.99,39.71,87.06,22.75,53.26
,  DDlp,-6.12,76.35,-83.10,-31.68,-97.39,-68.50
Average,,-8.33,47.82,-23.34,-15.71,-42.19,11.98
,  ,-8.33,47.82,-23.34,-15.71,-42.19,11.98
