Polluted element,Type of pollution,California_Berkeley_2017,California_Lenox_2018,California_San Francisco_2015,Massachusetts_Boston_2017,Massachusetts_Cambridge_2015,Massachusetts_Los-Angeles_2018
Air,,6.14,-48.58,23.52,-30.24,25.02,55.24
,  Industrial,-15.67,44.34,-51.10,-63.90,21.11,89.78
,  Oxygen-depletion,75.82,-70.98,-9.09,-57.64,38.04,90.21
,  Solid Waste,-14.50,-79.74,79.37,67.09,27.51,89.35
,  Thermal,-21.07,-87.92,74.91,-66.50,13.42,-48.38
Soil,,-11.48,16.75,-18.60,33.97,-3.88,-2.69
,  Groundwater,-3.00,-70.29,82.59,69.42,-89.95,-23.98
,  Inorganic Fertilizers,-15.23,45.92,-52.97,-63.09,22.07,-38.96
,  Light,-17.77,40.87,-53.63,61.76,16.00,87.71
,  Surface water,-9.91,50.49,-50.41,67.80,36.36,-35.53
Water,,-10.20,17.47,16.12,66.77,-0.65,-3.19
,  Chemical,-8.31,56.01,-48.81,70.66,37.97,-38.45
,  Inferior Irrigation,-13.16,45.38,79.84,67.51,26.55,-40.35
,  Noise,-17.17,36.29,76.76,64.17,21.68,88.91
,  Thermal,-2.15,-67.79,-43.31,64.72,-88.81,-22.86
Average,,-5.18,-4.79,7.01,23.50,6.83,16.45
,  ,-5.18,-4.79,7.01,23.50,6.83,16.45
