CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,AAfnw_BBbgp,AAfnw_BBknr,AAfnw_BBkrs,EE,FF
CCcy,,31.13,73.44,9.65,35.21,82.56,60.86,94.13,16.85,,
,  DDbkv,31.13,73.44,9.65,35.21,84.46,60.86,94.13,17.94,EEhpx,FFlmr
,  DDbsz,35.98,82.42,16.28,47.59,82.56,68.41,96.21,24.10,EEhpx,FFlmr
,  DDhpt,35.01,75.42,13.18,45.23,86.49,64.99,96.90,16.85,EEhpx,FFcmp
CCbt,,30.79,68.52,0.84,37.57,82.53,46.59,94.99,17.58,,
,  DDcwz,33.15,74.65,11.53,41.71,82.53,62.58,96.34,19.73,EEmz,FFbpv
,  DDbmz,35.70,78.09,14.57,46.92,84.81,66.69,98.74,18.53,EEmz,FFgqt
,  DDmx,30.79,68.52,0.84,37.57,83.06,46.59,94.99,17.58,EEmz,FFgqt
Minimum,,30.79,68.52,0.84,35.21,82.53,46.59,94.13,16.85,,
,  ,30.79,68.52,0.84,35.21,82.53,46.59,94.13,16.85,,
